"REFERENCE","REFERENCE_AUTHOR","REFERENCE_YEAR","REFERENCE_TITLE","REFERENCE_JOURNAL"
101002,"Matějková I.",2006,"K výskytu hořečku českého (Gentianella bohemica) a hořce hořepníku (Gentiana pneumonanthe) na Klatovsku.","Calluna, Plzeň, 11/1: 6 -7."
101003,"Sladký J.",2006,"Rmen smrdutý (Anthemis cotula L.) opět na Domažlicku.","Calluna, Plzeň, 11/1: 7-8."
101004,"Tájek P.",2007,"Floristický průzkum Andělské Hory u Karlových Varů.","Calluna, Plzeň, 12/1: 13-16."
101005,"Tájek P.",2007,"Nová lokalita vstavače bledého (Orchis pallens) v Čechách.","Arnika, Plzeň, 1/7: 22-25."
101006,"Blažková D.",2007,"Vegetační dynamika náplavů malých toků středních Čech.","Bohem. Centr., Praha, 28: 43-48."
101007,"Hoffman A.",2007,"Vegetace a flóra Velké hory v NPR Karlštejn - Současný stav a vyhodnocení změn.","Bohem. Centr., Praha, 28 : 49-116."
101008,"Kubíková J.",2007,"Kopec Doutnáč v NPR Karlštejn, modelové území geobotanických studií.","Bohem. Centr., Praha, 28: 287 -320."
101009,"Hlaváček R. et Sofron J.",2007,"Anemono-orografický systém a vliv požárů na vegetaci v Brdech.","Bohem. Centr., Praha, 28: 321-351."
101010,"Kořínková D.",2006,"Flóra a vegetace lučních a rašelinných společenstev Černostudničního hřebene (jižní hranice Jizerských hor).","Opera Corcont., Vrchlabí, 43: 137-156."
101011,"Válek B.",1944,"Seslerietum uliginosae u Lhotek a Vřeštova na Hořicku v severovýchodních Čechách.","Věstn. Král. Čes. Společ. Nauk, Praha, 1944/28: 1-7."
101012,"Malíková L.",2000,"Vliv obhospodařování na strukturu makrovegetace. Vliv obhospodařování rybníků na strukturu vegetace a flóry obnažených den.","Ms. [Bak. pr., depon. in: ZF JU, České Budějovice.]"
101013,"Rydlo J.",2007,"Vodní makrofyta v Labi mezi Chvaleticemi a Mělníkem - změny po ukončení lodní dopravy uhlí.","Muz. Současnost, Roztoky u Prahy, ser. natur., 22: 27 -95."
101014,"Blažková D.",2007,"Sukcese na náplavech Vltavy pod Prahou po velké povodni v r. 2002.","Muz. Současnost, Roztoky u Prahy, ser. natur., 22: 3-14."
101015,"Rydlo J.",2007,"Příspěvek k poznání vegetace plaurů.","Muz. Současnost, Roztoky u Prahy, ser. natur., 22: 21-26."
101016,"Rydlo J.",2007,"Příspěvek k poznání vegetace vodních makrofyt v potocích v okolí Bakova nad Jizerou.","Muz. Současnost, Roztoky u Prahy, ser. natur., 22: 96-98."
101017,"Rydlo J.",2007,"Příspěvek k poznání vodních makrofyt Drahanské a Hornosvratecké vrchoviny a Boskovické brázdy.","Muz. Současnost, Roztoky u Prahy, ser. natur., 22: 99-107."
101018,"Rydlo J.",2007,"Vodní makrofyta v chráněných územích Rybníčky u Podbořánek a Plaviště.","Muz. Současnost, Roztoky u Prahy, ser. natur., 22: 108-113."
101019,"Härtel H.",2000,"Vegetation der Schuttwälder der Böhmishen Schweiz.","Acta Univ. Purkyn., Ústí n. Labem, Stud. Biol., 4: 59-72."
101020,"Burešová Z. et Bureš L.",1996,"Inventarizační průzkum botanický v národní přírodní památce Ptačí hora.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
101021,"Rydlo J.",2008,"Řečanka přímořská (Najas marina) v Labi a v tůních mezi Kolínem a Nymburkem.","Pr. Muz. Kolín, ser. natur., 8: 25-30."
101022,"Juříček M.",2007,"Vegetace rákosin a vysokých ostřic na transektu od Českomoravské vrchoviny po Dyjsko-Svratecký úval.","Ms. [Bak. pr., Depon. in: PřF MU, Brno.]"
