"AUTHOR","AUTH_NAME"
"0942","Hložková Irena"
"0943","Vrška Tomáš"
"0944","Bělohoubek Jiří"
"0945","Šenkýř Milan"
"0946","Lešková Martina"
"0947","Rivolová Ludmila"
"0948","Opravil Emanuel"
"0949","Dvořák Josef"
"0950","Sedláková Lucie"
"0951","Velčovská Martina"
"0952","Leugnerová Gabriela"
"0953","Halas Petr"
"0954","Kalníková Veronika"
"0955","Čuprová Tereza"
"0956","Parmová Šárka"
"0957","Frantík Tomáš"
"0958","Táborská Markéta"
"0959","Šigutová Lucie"
"0960","Janáková Jana"
"0961","Koptík Jiří"
"0962","Svačina Tomáš"
"0963","Krolová Monika"
"0964","Mužíková Bronislava"
"0965","Jírová Alena"
"0966","Klečková Lucie"
"0967","Dingová Alica"
"0968","Němec Radomír"
"0969","Dlouhá Veronika"
"0970","Rotreklová Olga"
"0971","Jelínek František"
"0972","Kalous Roman"
"0973","Vaněk Jiří"
"0974","Švacha Antonín"
"0975","Samková Věra"
"0976","Velebil Jiří"
"0977","Zmeškalová Jana"
"0978","Duzbaba Libor"
"0979","Bultas Petr"
"0980","Rottenborn Jan"
"0981","Trčka Adam"
"0982","Růžičková Tereza"
"0983","Marková = Čížková Štěpánka"
"0984","Zítková Iva"
"0985","Palpurina = Todorova Salza"
"0986","Prančl Jan"
"0987","Roučková Romana"
"0988","Hašková Andrea"
"0989","Píšťková Kateřina"
"0990","Čejková Alžběta"
"0991","Smoczyk Michał"
"0992","Krása Petr"
"0993","Zedínek Tomáš"
"0994","Benediktová Lucie"
"0995","Ďoubalová Jana"
"0996","Galda Jiří"
"0997","Olšiaková Magdalena"
"0998","Bastl Marek"
"0999","Fronková Zuzana"
"1000","Ondrová Vlasta"
"1001","Daněk Pavel"
"1002","Chytrá = Prokešová Helena"
"1003","Zukal Dominik"
"1004","Hruban Jaroslav"
"1005","Koutecký Tomáš"
"1006","Martinec Pavel"
"1007","Komárek Josef"
"1008","Šiková Linda"
